gene_id,SAMN31934616,SAMN31934617,SAMN31934618,SAMN31934759,SAMN31934760,SAMN31934761
gene-LOC100684726|LOC100684726,172,165,216,172,195,191
gene-LOC102151484|LOC102151484,1,1,2,1,1,0
gene-LOC100685702|LOC100685702,9,10,11,8,4,9
gene-LOC100685782|LOC100685782,0,0,0,0,0,0
gene-ENPP1|ENPP1,117,97,95,89,83,89
gene-LOC119870367|LOC119870367,52,35,35,27,35,22
gene-LOC119870369|LOC119870369,2,0,0,0,0,0
gene-LOC119870691|LOC119870691,0,0,0,0,0,0
gene-PARD6G|PARD6G,108,109,83,113,145,99
gene-LOC100685536|LOC100685536,0,0,0,0,0,0
gene-LOC119870385|LOC119870385,0,0,0,0,0,0
gene-ADNP2|ADNP2,1000,830,1054,1036,1137,1038
gene-HSBP1L1|HSBP1L1,3,3,10,8,10,11
gene-LOC102154355|LOC102154355,50,66,58,58,98,52
gene-RBFA|RBFA,850,697,867,714,860,717
gene-TXNL4A|TXNL4A,860,732,941,983,1140,1080
gene-SLC66A2|SLC66A2,1380,1140,1553,1344,1894,1540
gene-LOC111091658|LOC111091658,89,91,83,75,87,80
gene-LOC111091673|LOC111091673,17,17,29,16,23,25
gene-LOC106559849|LOC106559849,10,14,5,6,4,14
gene-KCNG2|KCNG2,408,379,440,378,450,406
gene-LOC111091841|LOC111091841,0,0,0,0,0,0
gene-LOC111091898|LOC111091898,3,12,0,6,4,0
gene-CTDP1|CTDP1,782,652,618,483,534,453
gene-LOC119870433|LOC119870433,12,13,5,8,9,11
gene-NFATC1|NFATC1,53,51,42,35,34,38
gene-LOC111092007|LOC111092007,0,0,0,0,0,0
gene-LOC119870694|LOC119870694,0,0,0,0,0,0
gene-LOC111092121|LOC111092121,0,0,0,0,0,0
gene-LOC119870460|LOC119870460,11,26,16,19,11,10
gene-SALL3|SALL3,253,207,215,72,125,99
gene-LOC111090563|LOC111090563,0,0,0,0,0,0
gene-LOC119870458|LOC119870458,59,76,73,56,89,52
gene-ATP9B|ATP9B,1286,1163,1380,1106,1331,1189
gene-GALR1|GALR1,57,87,45,36,27,43
gene-MBP|MBP,13415,18138,7890,7563,8909,7522
gene-LOC119870510|LOC119870510,23,17,16,3,13,6
gene-LOC102156552|LOC102156552,49,101,48,94,40,106
gene-LOC119869861|LOC119869861,4,3,2,5,4,3
gene-ZNF236|ZNF236,1820,1547,1739,1319,1680,1294
gene-LOC111092528|LOC111092528,7,8,5,0,0,10
gene-LOC102157008|LOC102157008,0,0,0,4,9,5
gene-LOC119870638|LOC119870638,0,0,0,0,0,2
gene-ZNF516|ZNF516,436,372,358,304,395,356
gene-TSHZ1|TSHZ1,472,656,583,285,389,342
gene-LOC111092553|LOC111092553,54,67,49,18,43,30
gene-ZADH2|ZADH2,342,373,328,239,377,364
gene-CNDP1|CNDP1,249,362,163,97,136,127
gene-ZNF407|ZNF407,3910,3248,3865,3176,3695,3117
gene-LOC119869871|LOC119869871,1,2,6,2,5,2
gene-LOC106560088|LOC106560088,7,4,0,1,0,0
gene-LOC111092777|LOC111092777,11,12,0,6,8,4
gene-CNDP2|CNDP2,2018,1696,2054,1576,2134,1710
gene-DIPK1C|DIPK1C,615,766,581,729,873,872
gene-C1H18orf63|C1H18orf63,90,36,76,48,90,23
gene-LOC119863882|LOC119863882,661,450,634,524,653,563
gene-LOC119870698|LOC119870698,8,0,7,5,4,0
gene-LOC119870965|LOC119870965,4,0,3,4,2,7
gene-TIMM21|TIMM21,747,618,760,600,652,597
gene-FBXO15|FBXO15,159,178,177,136,171,155
gene-LOC100685303|LOC100685303,0,0,0,0,0,0
gene-LOC111092948|LOC111092948,9,9,7,13,6,7
gene-LOC608797|LOC608797,355,289,382,302,370,304
gene-LOC111093124|LOC111093124,0,0,0,0,0,0
gene-NETO1|NETO1,3328,3168,3378,2275,2482,2030
gene-LOC100685067|LOC100685067,1,1,4,1,2,1
gene-CBLN2|CBLN2,3050,2141,2924,2527,2742,2158
gene-LOC102152669|LOC102152669,10,0,2,25,13,18
gene-LOC106559414|LOC106559414,2,3,1,2,4,6
gene-LOC111093237|LOC111093237,0,8,0,8,22,17
gene-LOC102152482|LOC102152482,8,8,5,19,12,15
gene-LOC111093261|LOC111093261,26,22,15,35,33,38
gene-LOC102152782|LOC102152782,78,54,44,44,91,67
gene-SOCS6|SOCS6,2582,1872,2645,1566,2205,1623
gene-LOC119870699|LOC119870699,0,5,0,4,8,8
gene-LOC100856283|LOC100856283,3,2,3,2,2,5
gene-CD226|CD226,68,23,43,55,84,71
gene-RTTN|RTTN,712,608,800,897,948,842
gene-CCDC102B|CCDC102B,41,33,27,21,36,22
gene-LOC102156226|LOC102156226,0,0,0,0,4,3
gene-LOC100686410|LOC100686410,7,3,3,3,4,6
gene-LOC119870700|LOC119870700,9,6,13,10,8,11
gene-DOK6|DOK6,15390,12709,16866,14948,15936,14718
gene-LOC119870703|LOC119870703,19,22,20,25,19,14
gene-LOC119870701|LOC119870701,26,14,20,16,17,18
gene-LOC119870702|LOC119870702,50,48,30,25,22,25
gene-LOC119871240|LOC119871240,30,25,32,30,39,31
gene-TMX3|TMX3,2226,1873,2275,2123,2275,2055
gene-LOC106557620|LOC106557620,172,157,135,124,166,128
gene-LOC100686719|LOC100686719,4,2,2,4,3,2
gene-LOC111090594|LOC111090594,0,0,0,0,0,0
gene-DSEL|DSEL,3220,1988,3697,2469,2893,2082
gene-LOC100686966|LOC100686966,0,0,0,0,0,0
gene-CDH19|CDH19,443,534,317,323,373,373
gene-LOC119871403|LOC119871403,111,85,108,61,76,84
gene-CDH7|CDH7,2276,3482,2265,1296,1621,1540
gene-LOC111093811|LOC111093811,0,0,0,0,0,0
gene-SERPINB8|SERPINB8,33,24,20,12,17,11
gene-SERPINB10|SERPINB10,4,4,0,0,0,0
gene-SERPINB2|SERPINB2,0,0,0,0,5,0
gene-LOC111093874|LOC111093874,0,0,0,0,2,0
gene-KDSR|KDSR,1012,986,1090,883,905,707
gene-SERPINB13|SERPINB13,10,6,4,0,0,0
gene-SERPINB7|SERPINB7,5,0,0,0,3,4
gene-LOC111093968|LOC111093968,0,0,0,0,0,0
gene-SERPINB5|SERPINB5,147,97,191,149,234,205
gene-LOC119870705|LOC119870705,0,0,2,0,0,0
gene-VPS4B|VPS4B,1899,1643,1982,1991,2264,1914
gene-SERPINB11|SERPINB11,33,27,31,34,19,50
gene-LOC483954|LOC483954,0,0,0,0,0,6
gene-LOC100687530|LOC100687530,6,12,5,0,2,5
gene-LOC119870707|LOC119870707,0,2,7,0,0,0
gene-LOC111094334|LOC111094334,4,15,8,7,4,5
gene-BCL2|BCL2,172,106,153,92,135,116
gene-LOC111094459|LOC111094459,5,2,4,2,6,4
gene-LOC119870706|LOC119870706,44,35,26,8,27,13
gene-LOC111094480|LOC111094480,13,11,10,10,4,11
gene-LOC119870632|LOC119870632,20,15,12,5,9,11
gene-PHLPP1|PHLPP1,1632,1904,1625,1420,1664,1606
gene-LOC119870708|LOC119870708,26,36,27,13,16,28
gene-LOC119870709|LOC119870709,83,86,44,64,72,64
gene-LOC102155763|LOC102155763,31,42,36,50,34,37
gene-LOC111094618|LOC111094618,20,38,11,23,30,48
gene-LOC106558834|LOC106558834,0,0,0,0,0,0
gene-ZCCHC2|ZCCHC2,849,671,814,346,722,511
gene-LOC111094566|LOC111094566,2,0,0,0,0,4
gene-TNFRSF11A|TNFRSF11A,29,40,20,15,32,33
gene-LOC100687907|LOC100687907,0,0,0,0,14,0
gene-RELCH|RELCH,4129,3265,3967,4048,4881,4190
gene-PPIAP1|PPIAP1,141,132,168,111,148,142
gene-LOC119869845|LOC119869845,2,5,2,2,2,1
gene-LOC102153530|LOC102153530,8,11,9,15,14,10
gene-LOC609896|LOC609896,0,10,8,21,20,18
gene-PIGN|PIGN,1299,986,1337,1378,1484,1177
gene-LOC119870711|LOC119870711,0,0,0,0,0,0
gene-RNF152|RNF152,980,761,831,730,855,680
gene-LOC111094787|LOC111094787,0,4,0,0,5,0
gene-LOC119869959|LOC119869959,0,0,0,0,1,0
gene-LOC111090610|LOC111090610,5,10,0,6,0,8
